,model,preprocessors,parameters,metric,test predict score,Pipelines
0,LinearRegression,"{'categorical_transformers': OneHotEncoder(handle_unknown='ignore'), 'scaling_transformers': Normalizer(), 'target_transformers': TransformedTargetRegressor(func=<ufunc 'log10'>, inverse_func=<ufunc 'exp10'>,
                           regressor=AdaBoostRegressor(random_state=42))}",,R_Squared,0.09538688694123099,"Pipeline(steps=[('columntransformer',
                 ColumnTransformer(transformers=[('onehotencoder',
                                                  OneHotEncoder(handle_unknown='ignore'),
                                                  ['job_title']),
                                                 ('normalizer', Normalizer(),
                                                  ['gdp_per_capita_company',
                                                   'gdp_per_capita_residence',
                                                   'work_year_2020',
                                                   'work_year_2021',
                                                   'work_year_2022',
                                                   'experience_level_Entry-level',
                                                   'experience_level_Expert',
                                                   'experience_level_Mid-...
                                                   'went_high_went_low_gdp_capita_Same',
                                                   'went_high_went_low_gdp_capita_Went '
                                                   'Higher GDP per Capita',
                                                   'went_high_went_low_gdp_capita_Went '
                                                   'Lower GDP per Capita',
                                                   'is_managerial_False',
                                                   'is_managerial_True'])])),
                ('transformedtargetregressor',
                 TransformedTargetRegressor(func=<ufunc 'log10'>,
                                            inverse_func=<ufunc 'exp10'>,
                                            regressor=AdaBoostRegressor(random_state=42)))])"
1,LinearRegression,"{'categorical_transformers': OneHotEncoder(handle_unknown='ignore'), 'scaling_transformers': Normalizer(), 'target_transformers': TransformedTargetRegressor(func=<ufunc 'log10'>, inverse_func=<ufunc 'exp10'>,
                           regressor=AdaBoostRegressor(random_state=42))}",,Adj_R_Squared,0.04850674480574768,"Pipeline(steps=[('columntransformer',
                 ColumnTransformer(transformers=[('onehotencoder',
                                                  OneHotEncoder(handle_unknown='ignore'),
                                                  ['job_title']),
                                                 ('normalizer', Normalizer(),
                                                  ['gdp_per_capita_company',
                                                   'gdp_per_capita_residence',
                                                   'work_year_2020',
                                                   'work_year_2021',
                                                   'work_year_2022',
                                                   'experience_level_Entry-level',
                                                   'experience_level_Expert',
                                                   'experience_level_Mid-...
                                                   'went_high_went_low_gdp_capita_Same',
                                                   'went_high_went_low_gdp_capita_Went '
                                                   'Higher GDP per Capita',
                                                   'went_high_went_low_gdp_capita_Went '
                                                   'Lower GDP per Capita',
                                                   'is_managerial_False',
                                                   'is_managerial_True'])])),
                ('transformedtargetregressor',
                 TransformedTargetRegressor(func=<ufunc 'log10'>,
                                            inverse_func=<ufunc 'exp10'>,
                                            regressor=AdaBoostRegressor(random_state=42)))])"
2,LinearRegression,"{'categorical_transformers': OneHotEncoder(handle_unknown='ignore'), 'scaling_transformers': Normalizer(), 'target_transformers': TransformedTargetRegressor(func=<ufunc 'log10'>, inverse_func=<ufunc 'exp10'>,
                           regressor=AdaBoostRegressor(random_state=42))}",,MSE,4656315472.021778,"Pipeline(steps=[('columntransformer',
                 ColumnTransformer(transformers=[('onehotencoder',
                                                  OneHotEncoder(handle_unknown='ignore'),
                                                  ['job_title']),
                                                 ('normalizer', Normalizer(),
                                                  ['gdp_per_capita_company',
                                                   'gdp_per_capita_residence',
                                                   'work_year_2020',
                                                   'work_year_2021',
                                                   'work_year_2022',
                                                   'experience_level_Entry-level',
                                                   'experience_level_Expert',
                                                   'experience_level_Mid-...
                                                   'went_high_went_low_gdp_capita_Same',
                                                   'went_high_went_low_gdp_capita_Went '
                                                   'Higher GDP per Capita',
                                                   'went_high_went_low_gdp_capita_Went '
                                                   'Lower GDP per Capita',
                                                   'is_managerial_False',
                                                   'is_managerial_True'])])),
                ('transformedtargetregressor',
                 TransformedTargetRegressor(func=<ufunc 'log10'>,
                                            inverse_func=<ufunc 'exp10'>,
                                            regressor=AdaBoostRegressor(random_state=42)))])"
3,LinearRegression,"{'categorical_transformers': OneHotEncoder(handle_unknown='ignore'), 'scaling_transformers': Normalizer(), 'target_transformers': TransformedTargetRegressor(func=<ufunc 'log10'>, inverse_func=<ufunc 'exp10'>,
                           regressor=AdaBoostRegressor(random_state=42))}",,RMSE,68237.200059951,"Pipeline(steps=[('columntransformer',
                 ColumnTransformer(transformers=[('onehotencoder',
                                                  OneHotEncoder(handle_unknown='ignore'),
                                                  ['job_title']),
                                                 ('normalizer', Normalizer(),
                                                  ['gdp_per_capita_company',
                                                   'gdp_per_capita_residence',
                                                   'work_year_2020',
                                                   'work_year_2021',
                                                   'work_year_2022',
                                                   'experience_level_Entry-level',
                                                   'experience_level_Expert',
                                                   'experience_level_Mid-...
                                                   'went_high_went_low_gdp_capita_Same',
                                                   'went_high_went_low_gdp_capita_Went '
                                                   'Higher GDP per Capita',
                                                   'went_high_went_low_gdp_capita_Went '
                                                   'Lower GDP per Capita',
                                                   'is_managerial_False',
                                                   'is_managerial_True'])])),
                ('transformedtargetregressor',
                 TransformedTargetRegressor(func=<ufunc 'log10'>,
                                            inverse_func=<ufunc 'exp10'>,
                                            regressor=AdaBoostRegressor(random_state=42)))])"
4,LinearRegression,"{'categorical_transformers': OneHotEncoder(handle_unknown='ignore'), 'scaling_transformers': Normalizer(), 'target_transformers': TransformedTargetRegressor(func=<ufunc 'log10'>, inverse_func=<ufunc 'exp10'>,
                           regressor=AdaBoostRegressor(random_state=42))}",,MAE,44818.56230318672,"Pipeline(steps=[('columntransformer',
                 ColumnTransformer(transformers=[('onehotencoder',
                                                  OneHotEncoder(handle_unknown='ignore'),
                                                  ['job_title']),
                                                 ('normalizer', Normalizer(),
                                                  ['gdp_per_capita_company',
                                                   'gdp_per_capita_residence',
                                                   'work_year_2020',
                                                   'work_year_2021',
                                                   'work_year_2022',
                                                   'experience_level_Entry-level',
                                                   'experience_level_Expert',
                                                   'experience_level_Mid-...
                                                   'went_high_went_low_gdp_capita_Same',
                                                   'went_high_went_low_gdp_capita_Went '
                                                   'Higher GDP per Capita',
                                                   'went_high_went_low_gdp_capita_Went '
                                                   'Lower GDP per Capita',
                                                   'is_managerial_False',
                                                   'is_managerial_True'])])),
                ('transformedtargetregressor',
                 TransformedTargetRegressor(func=<ufunc 'log10'>,
                                            inverse_func=<ufunc 'exp10'>,
                                            regressor=AdaBoostRegressor(random_state=42)))])"
5,LinearRegression,"{'categorical_transformers': OneHotEncoder(handle_unknown='ignore'), 'scaling_transformers': Normalizer(), 'target_transformers': TransformedTargetRegressor(regressor=AdaBoostRegressor(random_state=42))}",,R_Squared,-0.15252888680977383,"Pipeline(steps=[('columntransformer',
                 ColumnTransformer(transformers=[('onehotencoder',
                                                  OneHotEncoder(handle_unknown='ignore'),
                                                  ['job_title']),
                                                 ('normalizer', Normalizer(),
                                                  ['gdp_per_capita_company',
                                                   'gdp_per_capita_residence',
                                                   'work_year_2020',
                                                   'work_year_2021',
                                                   'work_year_2022',
                                                   'experience_level_Entry-level',
                                                   'experience_level_Expert',
                                                   'experience_level_Mid-...
                                                   'same_working_country_Expatriate',
                                                   'same_working_country_Local '
                                                   'Worker',
                                                   'went_high_went_low_gdp_capita_Same',
                                                   'went_high_went_low_gdp_capita_Went '
                                                   'Higher GDP per Capita',
                                                   'went_high_went_low_gdp_capita_Went '
                                                   'Lower GDP per Capita',
                                                   'is_managerial_False',
                                                   'is_managerial_True'])])),
                ('transformedtargetregressor',
                 TransformedTargetRegressor(regressor=AdaBoostRegressor(random_state=42)))])"
6,LinearRegression,"{'categorical_transformers': OneHotEncoder(handle_unknown='ignore'), 'scaling_transformers': Normalizer(), 'target_transformers': TransformedTargetRegressor(regressor=AdaBoostRegressor(random_state=42))}",,Adj_R_Squared,-0.2122568713469406,"Pipeline(steps=[('columntransformer',
                 ColumnTransformer(transformers=[('onehotencoder',
                                                  OneHotEncoder(handle_unknown='ignore'),
                                                  ['job_title']),
                                                 ('normalizer', Normalizer(),
                                                  ['gdp_per_capita_company',
                                                   'gdp_per_capita_residence',
                                                   'work_year_2020',
                                                   'work_year_2021',
                                                   'work_year_2022',
                                                   'experience_level_Entry-level',
                                                   'experience_level_Expert',
                                                   'experience_level_Mid-...
                                                   'same_working_country_Expatriate',
                                                   'same_working_country_Local '
                                                   'Worker',
                                                   'went_high_went_low_gdp_capita_Same',
                                                   'went_high_went_low_gdp_capita_Went '
                                                   'Higher GDP per Capita',
                                                   'went_high_went_low_gdp_capita_Went '
                                                   'Lower GDP per Capita',
                                                   'is_managerial_False',
                                                   'is_managerial_True'])])),
                ('transformedtargetregressor',
                 TransformedTargetRegressor(regressor=AdaBoostRegressor(random_state=42)))])"
7,LinearRegression,"{'categorical_transformers': OneHotEncoder(handle_unknown='ignore'), 'scaling_transformers': Normalizer(), 'target_transformers': TransformedTargetRegressor(regressor=AdaBoostRegressor(random_state=42))}",,MSE,5932412442.550725,"Pipeline(steps=[('columntransformer',
                 ColumnTransformer(transformers=[('onehotencoder',
                                                  OneHotEncoder(handle_unknown='ignore'),
                                                  ['job_title']),
                                                 ('normalizer', Normalizer(),
                                                  ['gdp_per_capita_company',
                                                   'gdp_per_capita_residence',
                                                   'work_year_2020',
                                                   'work_year_2021',
                                                   'work_year_2022',
                                                   'experience_level_Entry-level',
                                                   'experience_level_Expert',
                                                   'experience_level_Mid-...
                                                   'same_working_country_Expatriate',
                                                   'same_working_country_Local '
                                                   'Worker',
                                                   'went_high_went_low_gdp_capita_Same',
                                                   'went_high_went_low_gdp_capita_Went '
                                                   'Higher GDP per Capita',
                                                   'went_high_went_low_gdp_capita_Went '
                                                   'Lower GDP per Capita',
                                                   'is_managerial_False',
                                                   'is_managerial_True'])])),
                ('transformedtargetregressor',
                 TransformedTargetRegressor(regressor=AdaBoostRegressor(random_state=42)))])"
8,LinearRegression,"{'categorical_transformers': OneHotEncoder(handle_unknown='ignore'), 'scaling_transformers': Normalizer(), 'target_transformers': TransformedTargetRegressor(regressor=AdaBoostRegressor(random_state=42))}",,RMSE,77022.15553041037,"Pipeline(steps=[('columntransformer',
                 ColumnTransformer(transformers=[('onehotencoder',
                                                  OneHotEncoder(handle_unknown='ignore'),
                                                  ['job_title']),
                                                 ('normalizer', Normalizer(),
                                                  ['gdp_per_capita_company',
                                                   'gdp_per_capita_residence',
                                                   'work_year_2020',
                                                   'work_year_2021',
                                                   'work_year_2022',
                                                   'experience_level_Entry-level',
                                                   'experience_level_Expert',
                                                   'experience_level_Mid-...
                                                   'same_working_country_Expatriate',
                                                   'same_working_country_Local '
                                                   'Worker',
                                                   'went_high_went_low_gdp_capita_Same',
                                                   'went_high_went_low_gdp_capita_Went '
                                                   'Higher GDP per Capita',
                                                   'went_high_went_low_gdp_capita_Went '
                                                   'Lower GDP per Capita',
                                                   'is_managerial_False',
                                                   'is_managerial_True'])])),
                ('transformedtargetregressor',
                 TransformedTargetRegressor(regressor=AdaBoostRegressor(random_state=42)))])"
9,LinearRegression,"{'categorical_transformers': OneHotEncoder(handle_unknown='ignore'), 'scaling_transformers': Normalizer(), 'target_transformers': TransformedTargetRegressor(regressor=AdaBoostRegressor(random_state=42))}",,MAE,51276.782608695656,"Pipeline(steps=[('columntransformer',
                 ColumnTransformer(transformers=[('onehotencoder',
                                                  OneHotEncoder(handle_unknown='ignore'),
                                                  ['job_title']),
                                                 ('normalizer', Normalizer(),
                                                  ['gdp_per_capita_company',
                                                   'gdp_per_capita_residence',
                                                   'work_year_2020',
                                                   'work_year_2021',
                                                   'work_year_2022',
                                                   'experience_level_Entry-level',
                                                   'experience_level_Expert',
                                                   'experience_level_Mid-...
                                                   'same_working_country_Expatriate',
                                                   'same_working_country_Local '
                                                   'Worker',
                                                   'went_high_went_low_gdp_capita_Same',
                                                   'went_high_went_low_gdp_capita_Went '
                                                   'Higher GDP per Capita',
                                                   'went_high_went_low_gdp_capita_Went '
                                                   'Lower GDP per Capita',
                                                   'is_managerial_False',
                                                   'is_managerial_True'])])),
                ('transformedtargetregressor',
                 TransformedTargetRegressor(regressor=AdaBoostRegressor(random_state=42)))])"
